Opening Hours,Popular Dishes,Detailed Address
"['Mon: 10:00 AM - 5:00 PM', 'Tue: 10:00 AM - 5:00 PM', 'Wed: 10:00 AM - 5:00 PM', 'Thu: Closed', 'Fri: Closed', 'Sat: Closed', 'Sun: Closed']","['Mole Poblano', 'Mole Blanco', 'Quesadillas', 'Enchiladas', 'Mole Negro', 'Sopes', 'Mole Verde', 'Chilaquiles', 'Mole Oaxaqueno', 'Chiles Rellenos De Queso', 'Tostadas', 'Molcajete', 'Tortas']","308 Willis AveBronx, NY 10454"
"['Mon: 11:00 AM - 9:00 PM', 'Tue: 11:00 AM - 9:00 PM', 'Wed: 11:00 AM - 9:00 PM', 'Thu: 11:00 AM - 9:00 PM', 'Fri: 11:00 AM - 9:00 PM', 'Sat: 11:00 AM - 9:00 PM', 'Sun: Closed']","['Shrimp Roti', 'Curry Goat', 'Goat Roti', 'Beef Roti', 'Chicken Roti', 'Veggie Roti']","716 Burke AveBronx, NY 10467"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:30 AM - 10:00 PM', 'Thu: 11:30 AM - 10:00 PM', 'Fri: 11:30 AM - 11:00 PM', 'Sat: 11:30 AM - 11:00 PM', 'Sun: 11:30 AM - 9:30 PM']","['Braised Short Ribs', 'Short Rib Sandwich', 'Chicken Marsala', 'Classic Pizza']","2107 Williamsbridge RdThe Bronx, NY 10461"
"['Mon: 12:00 PM - 11:30 PM', 'Tue: 12:00 PM - 11:30 PM', 'Wed: 12:00 PM - 11:30 PM', 'Thu: 12:00 PM - 11:30 PM', 'Fri: 12:00 PM - 11:30 PM', 'Sat: 12:00 PM - 11:30 PM', 'Sun: 12:00 PM - 11:30 PM']","['Chicken Gyro', 'Lamb Gyro', 'Chicken Skewer', 'Tzatziki', 'Turkey Burger', 'Lamb Skewer', 'Baklava', 'Chicken Skewer Platter', 'Spinach Pie', 'Qofte', 'Lamb Skewer Platter', 'Qofte Platter', 'Chicken Lemon Soup', 'Chicken Avocado Wrap', '14 Oz. Rib Eye Platter', 'Mediterranean Salad', 'Ez Salad']","790 Lydig AveBronx, NY 10462"
"['Mon: Open 24 hours', 'Tue: Open 24 hours', 'Wed: Open 24 hours', 'Thu: Open 24 hours', 'Fri: Open 24 hours', 'Sat: Open 24 hours', 'Sun: Open 24 hours']","[""Nurse 's Delight Sandwich"", 'Bronx Bomber', 'Chicken Cutlet', 'Roast Beef', 'Quesadillas', 'Hero Sandwiches', 'Monti']","169 E Gun Hill RdBronx, NY 10467"
"['Mon: 7:00 AM - 4:00 PM', 'Tue: 7:00 AM - 4:00 PM', 'Wed: 7:00 AM - 4:00 PM', 'Thu: 7:00 AM - 4:00 PM', 'Fri: 7:00 AM - 4:00 PM', 'Sat: 8:00 AM - 3:00 PM', 'Sun: Closed']","['Cafe Au Lait', 'Breakfast Sandwich', 'Pesto Omelette', ""Andy 's Special Sandwich"", 'Veggie Pesto Omelet', 'Dirty']","1015 Castle Hill AveBronx, NY 10472"
"['Mon: 5:00 PM - 12:00 AM (Next day)', 'Tue: 5:00 PM - 12:00 AM (Next day)', 'Wed: 5:00 PM - 12:00 AM (Next day)', 'Thu: 5:00 PM - 12:00 AM (Next day)', 'Fri: 5:00 PM - 2:00 AM (Next day)', 'Sat: 5:00 PM - 2:00 AM (Next day)', 'Sun: 5:00 PM - 12:00 AM (Next day)']","['Croquetas De Chivo', 'Sancocho', 'Yuca', 'Adobo Grilled Half Chicken', 'Pecao Frito', 'Mofongo Mar Y Tierra', 'Goat Stew', 'Chicharron De Mar', 'Moro De Gandules', 'Fried Fish', 'Wasakaka', 'Empanadas', 'Calamari', 'Chicharron Y Casabe', 'Majarete', 'Chenchen', 'Costillas']","2420 Amsterdam AveNew York, NY 10033"
"['Mon: 4:00 PM - 12:00 AM (Next day)', 'Tue: Closed', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 2:00 AM (Next day)', 'Fri: 4:00 PM - 2:00 AM (Next day)', 'Sat: 11:00 AM - 2:00 AM (Next day)', 'Sun: 11:00 AM - 12:00 AM (Next day)']",[],"103-19 Metropolitan AveQueens, NY 11375"
"['Mon: Closed', 'Tue: 11:00 AM - 6:00 PM', 'Wed: 11:00 AM - 6:00 PM', 'Thu: 11:00 AM - 6:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 11:00 AM - 6:00 PM']",[],"2900 Southern BlvdBronx, NY 10458"
"['Mon: 11:30 AM - 12:00 AM (Next day)', 'Tue: 11:30 AM - 12:00 AM (Next day)', 'Wed: 11:30 AM - 12:00 AM (Next day)', 'Thu: 11:30 AM - 12:00 AM (Next day)', 'Fri: 12:00 PM - 1:00 AM (Next day)', 'Sat: 12:00 PM - 1:00 AM (Next day)', 'Sun: Closed']",[],"1026 Castle Hill AveThe Bronx, NY 10472"
[],"['Bun Dau Mam Tom', 'Raw Surf Clam Salad', 'Fried Tofu', 'Blood Sausage', 'Mussel Sausage', 'Sticky Rice Sausage', 'Chicken Feet', 'Bun Dau Dac Biet', 'Sausage Stuffed Snails', 'Cuon Diep', 'Fried Eggplant', 'Eggplant and Snail Wrap']","70 Forsyth StNew York, NY 10002"
"['Mon: 8:00 AM - 8:00 PM', 'Tue: 8:00 AM - 8:00 PM', 'Wed: 8:00 AM - 8:00 PM', 'Thu: 8:00 AM - 8:00 PM', 'Fri: 8:00 AM - 8:00 PM', 'Sat: 11:00 AM - 8:00 PM', 'Sun: Closed']","['Oxtail', 'Jerk Chicken', 'Jerk Wings']","1111 E Tremont AveBronx, NY 10460"
