Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL
Mr Chopped Cheese & Grill,,"Juice Bars & Smoothies, Breakfast & Brunch, Sandwiches",4.0,"√ Delivery, √ Takeout",,https://www.yelp.com/biz/mr-chopped-cheese-and-grill-new-york?osq=Restaurants,https://www.yelp.com/biz/LyL23tEChcG7WHaSd7RIAA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
Cosmo’s Restaurant,East Tremont,Diners,4.5,,$,https://www.yelp.com/biz/cosmos-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
Tortoise & Hare,,"Bars, American (Traditional), Barbeque",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/tortoise-and-hare-bronx?osq=Restaurants,https://www.yelp.com/biz/u4bpvrR8_YL1MQgEThd8mA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
Nasrin’s Kitchen,Midtown West,Persian/Iranian,4.6,,,https://www.yelp.com/biz/nasrin-s-kitchen-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=50
Cosmo’s Restaurant,East Tremont,Diners,4.5,,$,https://www.yelp.com/biz/cosmos-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60
Tortoise & Hare,,"Bars, American (Traditional), Barbeque",4.4,"√ Outdoor seating, √ Delivery, √ Takeout",,https://www.yelp.com/biz/tortoise-and-hare-bronx?osq=Restaurants,https://www.yelp.com/biz/u4bpvrR8_YL1MQgEThd8mA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60
Nasrin’s Kitchen,Midtown West,Persian/Iranian,4.6,,,https://www.yelp.com/biz/nasrin-s-kitchen-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60
Galicia Tapas,Inwood,"Tapas/Small Plates, Spanish, Seafood",4.6,"√ Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/galicia-tapas-new-york?osq=Restaurants,https://www.yelp.com/biz/7yGBu-m5K7oWwtu_kdUoDQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60
The Honey Well,Harlem,"Cocktail Bars, American (New), Whiskey Bars",4.4,"√ Outdoor seating, × Delivery, √ Takeout",$$,https://www.yelp.com/biz/the-honey-well-new-york?osq=Restaurants,https://www.yelp.com/reservations/the-honey-well-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60
Jimmy’s Best Chinese Restaurant,Eastchester,Chinese,4.4,"× Outdoor seating, √ Delivery, √ Takeout",$$,https://www.yelp.com/biz/jimmys-best-chinese-restaurant-bronx?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Bronx%2C+NY&start=60
