Opening Hours,Popular Dishes,Detailed Address
"['Mon: Closed', 'Tue: 11:00 AM - 8:00 PM', 'Wed: 11:00 AM - 8:00 PM', 'Thu: 11:00 AM - 8:00 PM', 'Fri: 11:00 AM - 9:00 PM', 'Sat: 11:00 AM - 9:00 PM', 'Sun: Closed']",[],"92-15 Rockaway BlvdOzone Park, NY 11417"
"['Mon: 12:00 PM - 9:00 PM', 'Tue: 11:00 AM - 9:00 PM', 'Wed: 11:00 AM - 9:00 PM', 'Thu: 11:00 AM - 9:00 PM', 'Fri: 11:00 AM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 11:00 AM - 9:00 PM']","['Jerk Chicken', 'Festival', 'Ribs', 'BBQ Pork', 'Jerk Pork']","27 Gloucester AveJamaica, NY 11423"
"['Mon: 8:00 AM - 10:00 PM', 'Tue: 8:00 AM - 10:00 PM', 'Wed: 8:00 AM - 10:00 PM', 'Thu: 8:00 AM - 10:00 PM', 'Fri: 8:00 AM - 10:00 PM', 'Sat: 8:00 AM - 11:00 PM', 'Sun: 8:00 AM - 11:00 PM']",[],"7132 Roosevelt AveQueens, NY 11103"
"['Mon: 5:00 PM - 9:00 PM', 'Tue: 5:00 PM - 9:00 PM', 'Wed: 5:00 PM - 9:00 PM', 'Thu: 5:00 PM - 9:00 PM', 'Fri: 5:00 PM - 9:00 PM', 'Sat: 2:00 PM - 9:00 PM', 'Sun: 2:00 PM - 8:00 PM']","['Nacho Tower', 'Drunken Shrimp Tacos', 'Churros', 'Pulled Pork Tacos', 'Steak Tacos', 'Fish Tacos', 'Mexico City Halal', 'Grilled Chicken Tacos', 'Seitan Al Pastor Tacos', 'Sweet Potato Taquitos', 'Vegan Bowl', 'Coconut Tres Leches Cake', 'Adobo Brussels', 'Chicken Quesadilla', 'Baja Shrimp', 'Spicy Seitan Chorizo', 'Brussel Sprout Tacos', 'Quail Egg Tacos', 'Beef Tacos', 'Adobo Wings']","102-15 Metropolitan AveForest Hills, NY 11375"
"['Mon: 12:00 PM - 10:30 PM', 'Tue: 12:00 PM - 10:30 PM', 'Wed: 12:00 PM - 10:30 PM', 'Thu: 12:00 PM - 10:30 PM', 'Fri: 12:00 PM - 10:30 PM', 'Sat: 12:00 PM - 10:30 PM', 'Sun: 12:00 PM - 10:30 PM']",[],"23-10 Jackson AveLong Island City, NY 11101"
"['Mon: 5:00 PM - 10:00 PM', 'Tue: Closed', 'Wed: Closed', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 5:00 PM - 10:00 PM', 'Sat: 11:00 AM - 3:00 PM 4:00 PM - 10:00 PM', 'Sun: 11:00 AM - 3:00 PM 4:00 PM - 10:00 PM']","['Eggs Benedict', 'Grilled Salmon Salad', 'Black Bean Burger', 'Poached Egg Salad', 'Braised Beef Bruschetta', 'Jerk Chicken', 'Cheeseburger', 'Breakfast Burger', 'Bourbon Burger', 'Pork Buns', 'Slab Bacon', 'Fried Chicken']","72-27 Austin StForest Hills, NY 11375"
"['Mon: 11:00 AM - 10:00 PM', 'Tue: 11:00 AM - 10:00 PM', 'Wed: 11:00 AM - 10:00 PM', 'Thu: 11:00 AM - 10:00 PM', 'Fri: 11:00 AM - 11:00 PM', 'Sat: 11:00 AM - 11:00 PM', 'Sun: 11:00 AM - 11:00 PM']",[],"65-17 Fresh Pond RdQueens, NY 11385"
"['Mon: 11:30 AM - 3:30 PM 5:00 PM - 9:00 PM', 'Tue: 11:30 AM - 3:30 PM 5:00 PM - 9:00 PM', 'Wed: 11:30 AM - 3:30 PM 5:00 PM - 9:30 PM', 'Thu: 11:30 AM - 3:30 PM 5:00 PM - 9:00 PM', 'Fri: 11:30 AM - 3:30 PM 5:00 PM - 9:00 PM', 'Sat: 11:30 AM - 3:30 PM 5:00 PM - 9:00 PM', 'Sun: 11:30 AM - 3:30 PM 5:00 PM - 9:00 PM']",[],"42-18 Bell BlvdNew York, NY 11361"
"['Mon: Closed', 'Tue: 5:00 PM - 1:00 AM (Next day)', 'Wed: 5:00 PM - 1:00 AM (Next day)', 'Thu: 5:00 PM - 1:00 AM (Next day)', 'Fri: 5:00 PM - 1:00 AM (Next day)', 'Sat: 11:00 AM - 1:00 AM (Next day)', 'Sun: 11:00 AM - 1:00 AM (Next day)']","['Whipped Feta', 'Sliders', 'Mediterranean Benedict', 'Spinach & Feta Spring Rolls', 'Saganaki Cigars', 'Crispy Spring Roll', 'Gold Digger', 'Skewers', 'Lemon Potato Croquettes', 'Avocado Toast', 'Soutzoukakia', 'Eggs Benedict']","38-29 Bell BlvdNew York, NY 11361"
"['Mon: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Tue: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Wed: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Thu: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Fri: 12:00 PM - 4:00 PM 5:00 PM - 12:00 AM (Next day)', 'Sat: 12:00 PM - 4:00 PM 5:00 PM - 12:00 AM (Next day)', 'Sun: 12:00 PM - 4:00 PM 5:00 PM - 12:00 AM (Next day)']","['Oysters', 'Yen Ta Fo Noodle', 'Tom Yum Noodle Soup', 'Crab Rolls', 'Goy Nuar']","65-25 Roosevelt AveWoodside, NY 11377"
"['Mon: Closed', 'Tue: 5:00 PM - 10:00 PM', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 5:00 PM - 11:00 PM', 'Sat: 11:30 AM - 11:00 PM', 'Sun: 11:30 AM - 10:00 PM']","['Beef Short Ribs', 'Grilled Octopus', 'Roasted Cornish Hen', 'Lamb Chop', 'Gelato', 'Baby Gem Salad', 'Beef Carpaccio', 'Lump Crab', 'Braised Oxtail']","47-25 Vernon BlvdLong Island City, NY 11101"
"['Mon: 5:00 PM - 11:00 PM', 'Tue: 5:00 PM - 11:00 PM', 'Wed: 5:00 PM - 11:00 PM', 'Thu: 5:00 PM - 11:00 PM', 'Fri: 5:00 PM - 12:00 AM (Next day)', 'Sat: 12:00 PM - 12:00 AM (Next day)', 'Sun: 12:00 PM - 10:00 PM']",[],"108-01 Northern BlvdCorona, NY 11368"
"['Mon: 10:00 AM - 8:30 PM', 'Tue: 10:00 AM - 8:30 PM', 'Wed: 10:00 AM - 8:30 PM', 'Thu: 10:00 AM - 8:30 PM', 'Fri: 10:00 AM - 8:30 PM', 'Sat: 10:00 AM - 8:30 PM', 'Sun: 10:00 AM - 8:30 PM']","['Deviled Chicken', 'Mutton', 'Egg Roti', 'Shrimp Parippu Vada', 'Rice & Curry Bowl']","88-01 182nd PlJamaica, NY 11432"
"['Mon: 12:00 PM - 10:30 PM', 'Tue: 12:00 PM - 10:30 PM', 'Wed: 12:00 PM - 10:30 PM', 'Thu: 12:00 PM - 10:30 PM', 'Fri: 12:00 PM - 10:30 PM', 'Sat: 12:00 PM - 10:30 PM', 'Sun: 12:00 PM - 10:30 PM']","['Sauteed Masala Wing Fusion', 'Sekuwa', 'Chicken Platter', 'Chicken Jhol Momo', 'Chitwan Ko Tass', 'Chicken Choila', 'Kathmandu Poppers', 'Pork Jhol Momo', 'Veg Jhol Momo', 'Shrimp Momo Jhol', 'Malekhu Ko Macha']","758 Seneca AveRidgewood, NY 11385"
[],[],"135-15 37th AveQueens, NY 11354"
"['Mon: 11:00 AM - 12:00 AM (Next day)', 'Tue: 11:00 AM - 12:00 AM (Next day)', 'Wed: 11:00 AM - 12:00 AM (Next day)', 'Thu: 11:00 AM - 12:00 AM (Next day)', 'Fri: 11:00 AM - 12:00 AM (Next day)', 'Sat: 11:00 AM - 12:00 AM (Next day)', 'Sun: 11:00 AM - 12:00 AM (Next day)']","['Korean BBQ', 'Beef Short Ribs', 'Bell Blvd Combo', 'Berkshire Pork Belly', 'Steamed Egg', 'Boneless Short Rib', 'Seoul Combo', 'Beef Tongue', 'Tofu Soup', 'Gangnam', 'Prime Rib Eye', 'Ban Chan', 'Spicy Rice Cakes', 'Kimchi Jjigae', 'Tartare', 'Chicken Soup', 'Ribeye Bulgogi', 'Black Angus Short Rib', 'Korean Army Stew', 'Soybean Paste Soup']","39-35 Bell BlvdBayside, NY 11361"
