Opening Hours,Popular Dishes,Detailed Address
"['Mon: 11:30 AM - 10:15 PM', 'Tue: 11:30 AM - 10:15 PM', 'Wed: 11:30 AM - 10:15 PM', 'Thu: 11:30 AM - 10:15 PM', 'Fri: 11:30 AM - 10:15 PM', 'Sat: 11:30 AM - 10:15 PM', 'Sun: 11:30 AM - 10:15 PM']","['Pad Thai', 'Guay Tiew Pad Sei Eiw', 'Spring Rolls', 'Pad Kee Mau', 'Pad See Ew', 'Pineapple Fried Rice', 'Drunken Noodles', 'Basil Fried Rice', 'Red Curry', 'Green Curry', 'Grilled Shrimp Glass Noodles', 'Papaya Salad', 'Chicken Satay', 'Po Pia Thod', 'Massaman Curry', 'Summer Rolls', 'Crab Fried Rice', 'Crab Rangoon', 'Wonton Soup']","181 Wyckoff AveBrooklyn, NY 11237"
"['Mon: 11:30 AM - 10:00 PM', 'Tue: 11:30 AM - 10:00 PM', 'Wed: 11:45 AM - 10:00 PM', 'Thu: 11:45 AM - 10:00 PM', 'Fri: Closed', 'Sat: Closed', 'Sun: 11:30 AM - 10:00 PM']","['Sabich Pita Sandwich', 'Baked Chicken', 'Moussaka', 'Homemade Shakshuka']","7 Rochester AveBrooklyn, NY 11233"
"['Mon: Closed', 'Tue: 5:00 PM - 9:00 PM', 'Wed: 5:00 PM - 9:00 PM', 'Thu: 5:00 PM - 9:00 PM', 'Fri: 5:00 PM - 9:00 PM', 'Sat: 10:00 AM - 3:00 PM 5:00 PM - 9:00 PM', 'Sun: 10:00 AM - 3:00 PM']","['Salmon Pastrami Sandwich', 'French Toast', 'Breakfast Sandwich', 'Avocado Toast', 'Grilled Cheese and Tomato Soup', 'Steak and Eggs', 'Burrata', 'Pappardelle', 'Scrambled Eggs', 'Croissant Sandwich']","663 Flatbush AveBrooklyn, NY 11225"
"['Mon: 8:00 AM - 5:00 PM', 'Tue: 8:00 AM - 5:00 PM', 'Wed: 8:00 AM - 5:00 PM', 'Thu: 8:00 AM - 5:00 PM', 'Fri: 8:00 AM - 5:00 PM', 'Sat: 8:00 AM - 5:00 PM', 'Sun: 8:00 AM - 5:00 PM']","['Bibimbap', 'Breakfast Wrap', 'Kimchi Fried Rice', 'Kimchi Omelet', 'BLT Breakfast Sandwich']","261 Nostrand AveBrooklyn, NY 11216"
"['Mon: Closed', 'Tue: 4:00 PM - 12:00 AM (Next day)', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 12:00 AM (Next day)', 'Fri: 4:00 PM - 1:00 AM (Next day)', 'Sat: 11:00 AM - 12:30 AM (Next day)', 'Sun: 11:00 AM - 3:45 PM']","['Yucca Croquettes', 'French Toast', 'Grilled Hanger Steak', 'Seared Salmon', 'Chicken Liver Pate', 'Yellow Curry Mussels', 'Tamarind Calamari', 'Chicken Pot Pie', 'Huevos Rancheros', 'Beyond Burger']","327 Stuyvesant AveBrooklyn, NY 11233"
"['Mon: 5:30 PM - 9:30 PM', 'Tue: 5:30 PM - 9:30 PM', 'Wed: 5:30 PM - 9:30 PM', 'Thu: 5:30 PM - 9:30 PM', 'Fri: 5:30 PM - 9:30 PM', 'Sat: 5:30 PM - 10:00 PM', 'Sun: Closed']","['Fatty Tuna Scallion Roll', 'Soft-shell Crab Roll', 'Sushi Deluxe', 'Tuna Roll']","1075 Bergen StBrooklyn, NY 11216"
"['Mon: Closed', 'Tue: 5:00 PM - 11:00 PM', 'Wed: 5:00 PM - 11:00 PM', 'Thu: 5:00 PM - 11:00 PM', 'Fri: 5:00 PM - 11:00 PM', 'Sat: 5:00 PM - 11:00 PM', 'Sun: 5:00 PM - 11:00 PM']",[],"858 Bergen StBrooklyn, NY 11238"
"['Mon: 8:00 AM - 3:00 PM', 'Tue: 8:00 AM - 5:00 PM', 'Wed: 8:00 AM - 5:00 PM', 'Thu: 8:00 AM - 5:00 PM', 'Fri: 8:00 AM - 5:00 PM', 'Sat: 8:30 AM - 5:00 PM', 'Sun: 8:30 AM - 3:00 PM']","['Avocado Toast', 'Corn Muffin with Dulce De Leche Frosting', 'Tamales', 'Avocado and Scrambled Eggs Sandwich', 'Ensalada De La Casa', 'Plato Ecuatoriano', 'Slow Roasted Pork Sandwich', 'Breaded Chicken Sandwich', 'Torta De Chorizo Sandwich', 'Mushroom Melt']","759 Nostrand AveBrooklyn, NY 11216"
"['Mon: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Tue: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Wed: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Thu: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Fri: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Beef Pho', 'Bun Bo Hue', 'Spring Rolls', 'Summer Rolls', 'Banh Mi', 'Grilled Pork', 'Chicken Wings', 'Chicken Pho', 'Papaya Salad', 'Pho Roll', 'Vegetarian Pho', 'Quail Eggs', 'Chicken Noodle Soup', 'Grilled Rice Paper', 'Banh Xeo', 'Sausage Rolls', 'Turmeric Chicken', 'Salted Chicken', 'Hu Tieu', 'Pho Noodles']","182 S 2nd StBrooklyn, NY 11211"
"['Mon: 8:00 AM - 4:00 PM', 'Tue: 8:00 AM - 4:00 PM', 'Wed: 8:00 AM - 11:00 PM', 'Thu: 8:00 AM - 11:00 PM', 'Fri: 8:00 AM - 11:00 PM', 'Sat: 9:00 AM - 11:00 PM', 'Sun: 9:00 AM - 5:00 PM']","['Citrus Olive Oil Cake', 'Persimmon Crumb Cake', 'Potato Focaccia', 'Ratatouille', 'Naan Wrap', 'Hojicha']","1090 St Johns PlBrooklyn, NY 11213"
